 	w01
h001	0.00000000045
h002	0.00000000045
h003	0.00000000045
h004	0.00000000045
h005	0.00000000045
h006	0.00000000045
h007	0.00000000045
h008	1.87000000000
h009	3.66000000000
h010	4.00000000000
h011	5.43000000000
h012	13.81000000000
h013	12.38000000000
h014	17.25000000000
h015	15.70000000000
h016	9.62000000000
h017	9.92000000000
h018	3.97000000000
h019	2.06000000000
h020	0.00000000045
h021	0.00000000045
h022	0.00000000045
h023	0.00000000045
h024	0.00000000045
h025	0.00000000045
h026	0.00000000045
h027	0.00000000045
h028	0.00000000045
h029	0.00000000045
h030	0.00000000045
h031	0.00000000045
h032	4.96000000000
h033	7.22000000000
h034	16.11000000000
h035	30.02000000000
h036	34.84000000000
h037	30.95000000000
h038	25.37000000000
h039	22.46000000000
h040	22.96000000000
h041	13.04000000000
h042	8.49000000000
h043	2.61000000000
h044	0.00000000064
h045	0.00000000064
h046	0.00000000064
h047	0.00000000064
h048	0.00000000064
h049	0.00000000064
h050	0.00000000064
h051	0.00000000064
h052	0.00000000064
h053	0.00000000064
h054	0.00000000064
h055	0.00000000064
h056	0.00000000068
h057	7.59000000000
h058	7.15000000000
h059	9.95000000000
h060	10.63000000000
h061	10.66000000000
h062	11.91000000000
h063	11.57000000000
h064	5.25000000000
h065	5.15000000000
h066	5.38000000000
h067	0.00000000064
h068	0.00000000064
h069	0.00000000064
h070	0.00000000064
h071	0.00000000064
h072	0.00000000064
h073	0.00000000064
h074	0.00000000064
h075	0.00000000064
h076	0.00000000064
h077	0.00000000064
h078	0.00000000064
h079	0.00000000064
h080	5.74000000000
h081	9.41000000000
h082	7.42000000000
h083	22.66000000000
h084	32.90000000000
h085	31.31000000000
h086	20.59000000000
h087	8.78000000000
h088	12.08000000000
h089	11.30000000000
h090	7.89000000000
h091	0.00000000064
h092	0.00000000064
h093	0.00000000064
h094	0.00000000064
h095	0.00000000064
h096	0.00000000064
h097	0.00000000064
h098	0.00000000064
h099	0.00000000064
h100	0.00000000064
h101	0.00000000064
h102	0.00000000064
h103	0.00000000064
h104	0.00000000075
h105	10.22000000000
h106	5.77000000000
h107	4.68000000000
h108	5.47000000000
h109	6.01000000000
h110	15.97000000000
h111	7.89000000000
h112	7.55000000000
h113	5.68000000000
h114	0.00000000081
h115	0.00000000064
h116	0.00000000064
h117	0.00000000064
h118	0.00000000064
h119	0.00000000064
h120	0.00000000064
h121	0.00000000064
h122	0.00000000064
h123	0.00000000064
h124	0.00000000064
h125	0.00000000064
h126	0.00000000064
h127	0.00000000064
h128	0.00000000055
h129	0.00000000085
h130	0.00000000072
h131	4.98000000000
h132	4.91000000000
h133	6.47000000000
h134	10.87000000000
h135	4.52000000000
h136	7.59000000000
h137	0.00000000062
h138	0.00000000076
h139	0.00000000064
h140	0.00000000064
h141	0.00000000064
h142	0.00000000064
h143	0.00000000064
h144	0.00000000064
h145	0.00000000064
h146	0.00000000064
h147	0.00000000064
h148	0.00000000064
h149	0.00000000064
h150	0.00000000064
h151	0.00000000064
h152	0.00000000052
h153	0.00000000068
h154	9.28000000000
h155	11.87000000000
h156	7.63000000000
h157	9.48000000000
h158	6.32000000000
h159	8.37000000000
h160	10.28000000000
h161	5.61000000000
h162	0.00000000063
h163	0.00000000067
h164	0.00000000064
h165	0.00000000064
h166	0.00000000064
h167	0.00000000064
h168	0.00000000064
