	w01
h001	1.75
h002	0.96
h003	1.41
h004	1.73
h005	1.74
h006	1.68
h007	1.24
h008	0.92
h009	0.91
h010	2.00
h011	3.14
h012	4.07
h013	3.91
h014	6.02
h015	5.73
h016	2.04
h017	3.50
h018	3.25
h019	5.51
h020	2.71
h021	10.64
h022	11.64
h023	3.16
h024	2.73
h025	2.19
h026	1.01
h027	0.43
h028	1.42
h029	0.81
h030	0.94
h031	0.79
h032	0.74
h033	1.31
h034	1.34
h035	2.03
h036	2.33
h037	3.01
h038	5.85
h039	6.04
h040	2.65
h041	3.06
h042	3.96
h043	3.05
h044	1.93
h045	7.97
h046	5.74
h047	2.35
h048	2.80
h049	2.43
h050	1.01
h051	1.08
h052	1.56
h053	1.38
h054	1.60
h055	1.21
h056	0.69
h057	0.92
h058	1.85
h059	3.28
h060	4.40
h061	3.05
h062	5.41
h063	5.27
h064	3.74
h065	3.58
h066	5.69
h067	5.74
h068	1.82
h069	9.63
h070	10.29
h071	4.91
h072	3.33
h073	1.89
h074	1.51
h075	1.43
h076	1.02
h077	0.91
h078	1.15
h079	1.32
h080	0.64
h081	0.70
h082	1.22
h083	4.51
h084	3.38
h085	2.75
h086	5.32
h087	5.98
h088	2.82
h089	2.03
h090	3.29
h091	5.86
h092	2.41
h093	7.40
h094	9.47
h095	3.79
h096	3.00
h097	1.55
h098	1.11
h099	1.02
h100	1.53
h101	0.95
h102	1.45
h103	0.96
h104	0.53
h105	0.82
h106	1.52
h107	2.75
h108	2.44
h109	1.83
h110	6.15
h111	3.94
h112	4.16
h113	1.99
h114	3.39
h115	3.93
h116	2.09
h117	7.41
h118	5.59
h119	3.22
h120	2.73
h121	2.31
h122	1.10
h123	1.21
h124	0.90
h125	1.58
h126	1.37
h127	1.30
h128	0.70
h129	0.59
h130	1.19
h131	3.02
h132	2.26
h133	2.00
h134	5.40
h135	4.42
h136	3.67
h137	2.79
h138	3.67
h139	3.28
h140	2.23
h141	6.83
h142	6.61
h143	3.71
h144	2.35
h145	1.45
h146	0.95
h147	1.33
h148	0.83
h149	0.98
h150	1.02
h151	0.66
h152	0.53
h153	0.63
h154	1.17
h155	3.38
h156	2.08
h157	1.01
h158	3.15
h159	3.78
h160	2.01
h161	3.34
h162	2.57
h163	2.57
h164	1.85
h165	6.71
h166	2.18
h167	2.58
h168	1.81


