	w01
h001	0.08
h002	0.08
h003	0.08
h004	0.08
h005	0.08
h006	0.08
h007	0.13
h008	0.13
h009	0.13
h010	0.13
h011	0.13
h012	0.13
h013	0.13
h014	0.13
h015	0.13
h016	0.13
h017	0.13
h018	0.13
h019	0.13
h020	0.13
h021	0.13
h022	0.13
h023	0.08
h024	0.08
h025	0.08
h026	0.08
h027	0.08
h028	0.08
h029	0.08
h030	0.08
h031	0.13
h032	0.13
h033	0.13
h034	0.13
h035	0.13
h036	0.13
h037	0.13
h038	0.13
h039	0.13
h040	0.13
h041	0.13
h042	0.13
h043	0.13
h044	0.13
h045	0.13
h046	0.13
h047	0.08
h048	0.08
h049	0.08
h050	0.08
h051	0.08
h052	0.08
h053	0.08
h054	0.08
h055	0.13
h056	0.13
h057	0.13
h058	0.13
h059	0.13
h060	0.13
h061	0.13
h062	0.13
h063	0.13
h064	0.13
h065	0.13
h066	0.13
h067	0.13
h068	0.13
h069	0.13
h070	0.13
h071	0.08
h072	0.08
h073	0.08
h074	0.08
h075	0.08
h076	0.08
h077	0.08
h078	0.08
h079	0.13
h080	0.13
h081	0.13
h082	0.13
h083	0.13
h084	0.13
h085	0.13
h086	0.13
h087	0.13
h088	0.13
h089	0.13
h090	0.13
h091	0.13
h092	0.13
h093	0.13
h094	0.13
h095	0.08
h096	0.08
h097	0.08
h098	0.08
h099	0.08
h100	0.08
h101	0.08
h102	0.08
h103	0.13
h104	0.13
h105	0.13
h106	0.13
h107	0.13
h108	0.13
h109	0.13
h110	0.13
h111	0.13
h112	0.13
h113	0.13
h114	0.13
h115	0.13
h116	0.13
h117	0.13
h118	0.13
h119	0.08
h120	0.08
h121	0.08
h122	0.08
h123	0.08
h124	0.08
h125	0.08
h126	0.08
h127	0.13
h128	0.13
h129	0.13
h130	0.13
h131	0.13
h132	0.13
h133	0.13
h134	0.13
h135	0.13
h136	0.13
h137	0.13
h138	0.13
h139	0.13
h140	0.13
h141	0.13
h142	0.13
h143	0.08
h144	0.08
h145	0.08
h146	0.08
h147	0.08
h148	0.08
h149	0.08
h150	0.08
h151	0.13
h152	0.13
h153	0.13
h154	0.13
h155	0.13
h156	0.13
h157	0.13
h158	0.13
h159	0.13
h160	0.13
h161	0.13
h162	0.13
h163	0.13
h164	0.13
h165	0.13
h166	0.13
h167	0.08
h168	0.08

