	w01
h001	1.840
h002	1.777
h003	2.617
h004	3.228
h005	3.242
h006	3.120
h007	2.308
h008	2.221
h009	2.227
h010	8.323
h011	6.784
h012	8.797
h013	1.497
h014	1.398
h015	7.191
h016	4.406
h017	7.551
h018	5.945
h019	4.501
h020	3.584
h021	3.871
h022	2.705
h023	1.956
h024	2.142
h025	2.306
h026	1.870
h027	0.789
h028	2.649
h029	1.518
h030	1.740
h031	1.459
h032	1.777
h033	0.487
h034	5.576
h035	4.373
h036	5.038
h037	1.151
h038	1.359
h039	7.579
h040	5.720
h041	6.612
h042	7.243
h043	2.495
h044	2.559
h045	2.897
h046	1.335
h047	1.457
h048	2.200
h049	2.565
h050	1.877
h051	1.999
h052	2.913
h053	2.571
h054	2.962
h055	2.247
h056	1.671
h057	2.244
h058	7.720
h059	7.089
h060	9.493
h061	1.168
h062	1.258
h063	6.616
h064	8.072
h065	7.723
h066	10.416
h067	4.689
h068	2.406
h069	3.504
h070	2.391
h071	3.042
h072	2.610
h073	1.990
h074	2.807
h075	2.656
h076	1.893
h077	1.701
h078	2.142
h079	2.457
h080	1.541
h081	1.702
h082	5.074
h083	9.733
h084	7.298
h085	1.053
h086	1.235
h087	7.500
h088	6.086
h089	4.393
h090	6.025
h091	4.783
h092	3.189
h093	2.692
h094	2.201
h095	2.349
h096	2.352
h097	1.637
h098	2.064
h099	1.896
h100	2.860
h101	1.773
h102	2.687
h103	1.785
h104	1.276
h105	1.994
h106	6.328
h107	5.946
h108	5.268
h109	0.700
h110	1.429
h111	4.950
h112	8.981
h113	4.297
h114	6.196
h115	3.213
h116	2.765
h117	2.696
h118	1.300
h119	1.998
h120	2.143
h121	2.432
h122	2.040
h123	2.238
h124	1.668
h125	2.937
h126	2.544
h127	2.417
h128	1.695
h129	1.440
h130	4.952
h131	6.510
h132	4.868
h133	0.766
h134	1.254
h135	5.544
h136	7.932
h137	6.032
h138	6.707
h139	2.676
h140	2.958
h141	2.483
h142	1.537
h143	2.296
h144	1.842
h145	1.524
h146	1.764
h147	2.466
h148	1.541
h149	1.834
h150	1.887
h151	1.228
h152	1.293
h153	1.548
h154	4.899
h155	7.303
h156	4.489
h157	0.385
h158	0.732
h159	4.748
h160	4.344
h161	7.219
h162	4.696
h163	2.103
h164	2.454
h165	2.439
h166	0.507
h167	1.598
h168	1.422


